Timestamp data collected on 2025-06-30 16:27:44
0239023B,7221719E,02390239,721F0080
023A023C,7223E29B,023A023A,72217186
023B023D,7226539A,023B023B,7223E282
023C023E,7228C4A2,023C023C,72265380
023D023F,722B359C,023D023D,7228C488
023E0240,722DA696,023E023E,722B3582
023F0241,7230179A,023F023F,722DA67E
02400242,72328898,02400240,72301781
02410243,7234F990,02410241,7232887F
02420244,72376A96,02420242,7234F97B
02430245,7239DB91,02430243,72376A7C
02440246,723C4C90,02440244,7239DB7C
02450247,723EBD92,02450245,723C4C7A
02460248,72412E8C,02460246,723EBD7C
02470249,72439F8A,02470247,72412E76
0248024A,72461090,02480248,72439F72
0249024B,72488190,02490249,72461078
024A024C,724AF28A,024A024A,7248817B
024B024D,724D6387,024B024B,724AF273
024C024E,724FD48E,024C024C,724D6370
024D024F,7252458C,024D024D,724FD476
024E0250,7254B68A,024E024E,72524574
024F0251,72572786,024F024F,7254B672
