Timestamp data collected on 2025-06-26 18:27:13
02360235,04ADF060,02360239,04AF8063
02370236,04AEB858,0237023A,04B04861
02380237,04AF805E,0238023B,04B11061
02390238,04B0485E,0239023C,04B1D85E
023A0239,04B1105D,023A023D,04B2A065
023B023A,04B1D85C,023B023E,04B36860
023C023B,04B2A060,023C023F,04B43062
023D023C,04B3685E,023D0240,04B4F862
023E023D,04B4305E,023E0241,04B5C05E
023F023E,04B4F85E,023F0242,04B6885D
0240023F,04B5C05C,02400243,04B75061
02410240,04B6885C,02410244,04B8185E
02420241,04B7505E,02420245,04B8E05E
02430242,04B8185C,02430246,04B9A85E
02440243,04B8E05C,02440247,04BA705E
02450244,04B9A85C,02450248,04BB3860
02460245,04BA705C,02460249,04BC005E
02470246,04BB385C,0247024A,04BCC860
02480247,04BC005C,0248024B,04BD905D
02490248,04BCC85D,0249024C,04BE585E
024A0249,04BD905C,024A024D,04BF205D
024B024A,04BE585C,024B024E,04BFE85E
024C024B,04BF205C,024C024F,04C0B05A
024D024C,04BFE85C,024D0250,04C1785A
024E024D,04C0B058,024E0251,04C24066
024F024E,04C17858,024F0252,04C3085C
0250024F,04C24062,02500253,04C3D05C
02510250,04C3085B,02510254,04C4985A
02520251,04C3D05A,02520255,04C56057
02530252,04C49858,02530256,04C62856
02540253,04C56056,02540257,04C6F058
02550254,04C62856,02550258,04C7B858
02560255,04C6F058,02560259,04C88056
02570256,04C7B856,0257025A,04C94856
02580257,04C88056,0258025B,04CA1057
02590258,04C94856,0259025C,04CAD858
025A0259,04CA1056,025A025D,04CBA058
025B025A,04CAD856,025B025E,04CC6859
025C025B,04CBA058,025C025F,04CD3056
025D025C,04CC6858,025D0260,04CDF856
025E025D,04CD3056,025E0261,04CEC056
025F025E,04CDF856,025F0262,04CF8858
0260025F,04CEC056,02600263,04D05058
02610260,04CF8856,02610264,04D11856
02620261,04D05056,02620265,04D1E056
02630262,04D11856,02630266,04D2A854
02640263,04D1E056,02640267,04D37056
02650264,04D2A84F,02650268,04D43858
02660265,04D37056,02660269,04D50056
02670266,04D43856,0267026A,04D5C854
02680267,04D50056,0268026B,04D69051
02690268,04D5C855,0269026C,04D75852
026A0269,04D6904B,026A026D,04D82054
026B026A,04D7584C,026B026E,04D8E852
026C026B,04D8204E,026C026F,04D9B053
026D026C,04D8E84E,026D0270,04DA7852
026E026D,04D9B04E,026E0271,04DB4050
026F026E,04DA784C,026F0272,04DC084E
0270026F,04DB404A,02700273,04DCD051
02710270,04DC0848,02710274,04DD9850
02720271,04DCD04A,02720275,04DE604F
02730272,04DD984A,02730276,04DF284E
02740273,04DE604A,02740277,04DFF04C
02750274,04DF2848,02750278,04E0B84C
02760275,04DFF046,02760279,04E1804F
02770276,04E0B846,0277027A,04E24850
02780277,04E18049,0278027B,04E31052
02790278,04E2484A,0279027C,04E3D850
027A0279,04E3104D,027A027D,04E4A04D
027B027A,04E3D84A,027B027E,04E5684E
027C027B,04E4A048,027C027F,04E6304A
027D027C,04E56848,027D0280,04E6F850
027E027D,04E63046,027E0281,04E7C04E
027F027E,04E6F849,027F0282,04E88850
0280027F,04E7C048,02800283,04E95054
02810280,04E8884A,02810284,04EA184A
02820281,04E95056,02820285,04EAE04D
